Country,Attack_Count
Iraq,27521
Afghanistan,18920
Pakistan,15504
India,13929
Colombia,8915
Philippines,8271
Peru,6111
Yemen,6027
Nigeria,5550
United Kingdom,5513
El Salvador,5320
Somalia,5317
Turkey,4485
Thailand,4201
Spain,3255
United States,3121
Sri Lanka,3041
Syria,2997
Algeria,2753
France,2751
West Bank and Gaza Strip,2669
Egypt,2654
Lebanon,2507
Libya,2505
Chile,2499
Russia,2242
Israel,2203
South Africa,2097
Guatemala,2055
Nicaragua,1983
Ukraine,1818
Bangladesh,1743
Italy,1603
Nepal,1551
Democratic Republic of the Congo,1498
Greece,1386
Sudan,1068
Mali,1009
Cameroon,879
Indonesia,850
Kenya,850
Argentina,826
Germany,816
Mozambique,785
Myanmar,743
Iran,712
Burundi,636
Mexico,600
Saudi Arabia,582
West Germany (FRG),541
Angola,501
Uganda,413
Japan,405
Burkina Faso,395
Central African Republic,382
Ireland,333
Honduras,330
Bolivia,326
South Sudan,323
Venezuela,320
Brazil,295
China,288
Ethiopia,280
Cambodia,261
Niger,257
Ecuador,245
Haiti,224
Georgia,219
Bahrain,208
Yugoslavia,203
Kosovo,201
Tajikistan,193
Netherlands,177
Rwanda,168
Bosnia-Herzegovina,161
Belgium,161
Namibia,151
Tunisia,150
Sweden,146
Portugal,141
Chad,132
Cyprus,130
Panama,127
Canada,126
Senegal,122
Jordan,121
Paraguay,120
Austria,120
Australia,120
Macedonia,118
Switzerland,116
Malaysia,109
Zimbabwe,106
Sierra Leone,101
Papua New Guinea,89
Dominican Republic,89
Rhodesia,83
Uruguay,82
Albania,82
Ivory Coast,81
Soviet Union,78
Kuwait,76
Tanzania,71
Costa Rica,69
Suriname,66
Zambia,62
Croatia,58
Guadeloupe,56
New Caledonia,55
Bulgaria,54
Taiwan,54
Azerbaijan,50
Zaire,50
Togo,48
Hungary,47
Denmark,45
Poland,42
South Korea,40
Kyrgyzstan,39
East Germany (GDR),38
Morocco,37
Jamaica,36
Republic of the Congo,36
Liberia,35
Ghana,34
Guyana,33
Macau,33
New Zealand,33
Czech Republic,32
Kazakhstan,31
Cuba,30
Lesotho,29
Maldives,29
Laos,27
Madagascar,27
Guinea,27
Hong Kong,26
Finland,25
Trinidad and Tobago,25
Armenia,25
Norway,24
Malta,23
United Arab Emirates,22
Djibouti,22
Moldova,21
Uzbekistan,21
Slovak Republic,19
Mauritania,19
Fiji,17
Latvia,17
Eritrea,17
Swaziland,16
Luxembourg,16
Belarus,15
Estonia,15
Serbia,14
Vietnam,13
Malawi,12
Martinique,12
Serbia-Montenegro,11
Botswana,10
Lithuania,10
Benin,10
East Timor,10
Czechoslovakia,10
Gabon,9
Guinea-Bissau,9
Comoros,8
Montenegro,8
Belize,8
Singapore,7
Western Sahara,7
French Guiana,7
Qatar,7
Brunei,6
Romania,6
Slovenia,6
Bhutan,6
North Yemen,6
Grenada,5
Bahamas,5
People's Republic of the Congo,4
Iceland,4
Dominica,4
Solomon Islands,4
Gambia,3
Barbados,3
French Polynesia,3
Mauritius,2
Turkmenistan,2
St. Lucia,2
Seychelles,2
South Yemen,2
Vanuatu,2
St. Kitts and Nevis,2
Equatorial Guinea,2
Vatican City,1
Antigua and Barbuda,1
New Hebrides,1
Andorra,1
International,1
Falkland Islands,1
North Korea,1
Wallis and Futuna,1
Afghanistan,1453
Iraq,547
Nigeria,448
Yemen,290
India,235
Myanmar,216
Pakistan,150
Syria,144
Democratic Republic of the Congo,142
Somalia,125
Philippines,104
Israel,101
Saudi Arabia,94
Colombia,76
Mali,76
Burkina Faso,53
Cameroon,46
Chile,45
West Bank and Gaza Strip,42
Mozambique,41
United Kingdom,40
Niger,38
Ethiopia,36
Kenya,33
Thailand,27
Indonesia,26
United States,26
Mexico,21
France,19
Central African Republic,18
South Africa,15
South Sudan,14
Turkey,14
Germany,13
Sudan,13
Canada,12
Venezuela,12
Greece,11
Uganda,11
Egypt,11
Ukraine,10
Ivory Coast,10
Bangladesh,10
Libya,8
Netherlands,6
Burundi,6
China,5
Peru,5
Sweden,5
Djibouti,4
Brazil,4
Tunisia,4
Iran,4
Paraguay,3
Italy,3
Nepal,3
Ireland,2
Argentina,2
Estonia,2
Belgium,2
Spain,2
Liberia,2
Switzerland,2
Chad,2
Rwanda,1
Ghana,1
Maldives,1
Sri Lanka,1
Latvia,1
Australia,1
Albania,1
Serbia,1
El Salvador,1
Algeria,1
Kosovo,1
Guatemala,1
Benin,1
Lebanon,1
Western Sahara,1
Zambia,1
